Epoch 181: duration loss = 0.349 | prior loss = 1.272 | diffusion loss = 0.112
Epoch 182: duration loss = 0.350 | prior loss = 1.273 | diffusion loss = 0.110
Epoch 183: duration loss = 0.349 | prior loss = 1.272 | diffusion loss = 0.113
Epoch 184: duration loss = 0.349 | prior loss = 1.272 | diffusion loss = 0.115
Epoch 185: duration loss = 0.349 | prior loss = 1.272 | diffusion loss = 0.113
Epoch 186: duration loss = 0.348 | prior loss = 1.272 | diffusion loss = 0.112
Epoch 187: duration loss = 0.348 | prior loss = 1.272 | diffusion loss = 0.112
Epoch 188: duration loss = 0.348 | prior loss = 1.272 | diffusion loss = 0.113
Epoch 189: duration loss = 0.347 | prior loss = 1.271 | diffusion loss = 0.114
Epoch 190: duration loss = 0.348 | prior loss = 1.271 | diffusion loss = 0.113
Epoch 191: duration loss = 0.347 | prior loss = 1.270 | diffusion loss = 0.109
Epoch 192: duration loss = 0.347 | prior loss = 1.271 | diffusion loss = 0.109
Epoch 193: duration loss = 0.347 | prior loss = 1.270 | diffusion loss = 0.112
Epoch 194: duration loss = 0.347 | prior loss = 1.270 | diffusion loss = 0.111
Epoch 195: duration loss = 0.347 | prior loss = 1.270 | diffusion loss = 0.111
Epoch 196: duration loss = 0.346 | prior loss = 1.270 | diffusion loss = 0.114
Epoch 197: duration loss = 0.347 | prior loss = 1.269 | diffusion loss = 0.111
Epoch 198: duration loss = 0.346 | prior loss = 1.269 | diffusion loss = 0.109
Epoch 199: duration loss = 0.346 | prior loss = 1.270 | diffusion loss = 0.111
Epoch 200: duration loss = 0.346 | prior loss = 1.269 | diffusion loss = 0.112
Epoch 201: duration loss = 0.346 | prior loss = 1.269 | diffusion loss = 0.115
Epoch 202: duration loss = 0.345 | prior loss = 1.268 | diffusion loss = 0.114
Epoch 203: duration loss = 0.345 | prior loss = 1.269 | diffusion loss = 0.113
Epoch 204: duration loss = 0.345 | prior loss = 1.268 | diffusion loss = 0.111
Epoch 205: duration loss = 0.345 | prior loss = 1.268 | diffusion loss = 0.111
